"","lStructure","mainA","mainT","tetra","nSamples","misconcept","nItems","estimation"
"1",1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,2
"3",1,1,1,1,1,1,1,3
"4",1,1,1,1,1,1,2,1
"5",1,1,1,1,1,1,2,2
"6",1,1,1,1,1,1,2,3
"7",1,1,1,1,1,2,1,1
"8",1,1,1,1,1,2,1,2
"9",1,1,1,1,1,2,1,3
"10",1,1,1,1,1,2,2,1
"11",1,1,1,1,1,2,2,2
"12",1,1,1,1,1,2,2,3
"13",1,1,1,1,1,3,1,1
"14",1,1,1,1,1,3,1,2
"15",1,1,1,1,1,3,1,3
"16",1,1,1,1,1,3,2,1
"17",1,1,1,1,1,3,2,2
"18",1,1,1,1,1,3,2,3
"19",1,1,1,1,2,1,1,1
"20",1,1,1,1,2,1,1,2
"21",1,1,1,1,2,1,1,3
"22",1,1,1,1,2,1,2,1
"23",1,1,1,1,2,1,2,2
"24",1,1,1,1,2,1,2,3
"25",1,1,1,1,2,2,1,1
"26",1,1,1,1,2,2,1,2
"27",1,1,1,1,2,2,1,3
"28",1,1,1,1,2,2,2,1
"29",1,1,1,1,2,2,2,2
"30",1,1,1,1,2,2,2,3
"31",1,1,1,1,2,3,1,1
"32",1,1,1,1,2,3,1,2
"33",1,1,1,1,2,3,1,3
"34",1,1,1,1,2,3,2,1
"35",1,1,1,1,2,3,2,2
"36",1,1,1,1,2,3,2,3
"37",1,1,1,1,3,1,1,1
"38",1,1,1,1,3,1,1,2
"39",1,1,1,1,3,1,1,3
"40",1,1,1,1,3,1,2,1
"41",1,1,1,1,3,1,2,2
"42",1,1,1,1,3,1,2,3
"43",1,1,1,1,3,2,1,1
"44",1,1,1,1,3,2,1,2
"45",1,1,1,1,3,2,1,3
"46",1,1,1,1,3,2,2,1
"47",1,1,1,1,3,2,2,2
"48",1,1,1,1,3,2,2,3
"49",1,1,1,1,3,3,1,1
"50",1,1,1,1,3,3,1,2
"51",1,1,1,1,3,3,1,3
"52",1,1,1,1,3,3,2,1
"53",1,1,1,1,3,3,2,2
"54",1,1,1,1,3,3,2,3
"55",1,1,1,2,1,1,1,1
"56",1,1,1,2,1,1,1,2
"57",1,1,1,2,1,1,1,3
"58",1,1,1,2,1,1,2,1
"59",1,1,1,2,1,1,2,2
"60",1,1,1,2,1,1,2,3
"61",1,1,1,2,1,2,1,1
"62",1,1,1,2,1,2,1,2
"63",1,1,1,2,1,2,1,3
"64",1,1,1,2,1,2,2,1
"65",1,1,1,2,1,2,2,2
"66",1,1,1,2,1,2,2,3
"67",1,1,1,2,1,3,1,1
"68",1,1,1,2,1,3,1,2
"69",1,1,1,2,1,3,1,3
"70",1,1,1,2,1,3,2,1
"71",1,1,1,2,1,3,2,2
"72",1,1,1,2,1,3,2,3
"73",1,1,1,2,2,1,1,1
"74",1,1,1,2,2,1,1,2
"75",1,1,1,2,2,1,1,3
"76",1,1,1,2,2,1,2,1
"77",1,1,1,2,2,1,2,2
"78",1,1,1,2,2,1,2,3
"79",1,1,1,2,2,2,1,1
"80",1,1,1,2,2,2,1,2
"81",1,1,1,2,2,2,1,3
"82",1,1,1,2,2,2,2,1
"83",1,1,1,2,2,2,2,2
"84",1,1,1,2,2,2,2,3
"85",1,1,1,2,2,3,1,1
"86",1,1,1,2,2,3,1,2
"87",1,1,1,2,2,3,1,3
"88",1,1,1,2,2,3,2,1
"89",1,1,1,2,2,3,2,2
"90",1,1,1,2,2,3,2,3
"91",1,1,1,2,3,1,1,1
"92",1,1,1,2,3,1,1,2
"93",1,1,1,2,3,1,1,3
"94",1,1,1,2,3,1,2,1
"95",1,1,1,2,3,1,2,2
"96",1,1,1,2,3,1,2,3
"97",1,1,1,2,3,2,1,1
"98",1,1,1,2,3,2,1,2
"99",1,1,1,2,3,2,1,3
"100",1,1,1,2,3,2,2,1
"101",1,1,1,2,3,2,2,2
"102",1,1,1,2,3,2,2,3
"103",1,1,1,2,3,3,1,1
